Publication Number,patent_id,cleaned_claim
US6629337,6629337,"1. A double pivot door hinge for a door of a motor vehicle comprising: a door connector for connecting to a door of the motor vehicle; a pillar connector for connecting to a door pillar or body of the motor vehicle; a link; a door-side pivot rotatably connecting the link and the door connector, the door-side pivot including a cam, a locking member and a biasing element biasing the locking member against the cam for imparting a door-side braking resistance between the link and the door connector; and a pillar-side pivot rotatably connecting the link and the pillar connector, the pillar-side pivot imparting a pillar-side braking resistance between the link and the pillar connector; wherein the pillar-side braking resistance is less than the door-side braking resistance during opening."
US6629337,6629337,"16. A motor vehicle comprising: a vehicle body; a door; and a hinge connecting the door to the vehicle body, the hinge including a door connector for connecting to a door of the motor vehicle, a pillar connector for connecting to the vehicle body, a link, a door-side pivot rotatably connecting the link and the door connector, the door-side pivot imparting a door-side braking resistance between the link and the door connector, and a pillar-side pivot rotatably connecting the link and the pillar connector, the pillar-side pivot imparting a pivot-side braking resistance between the link and the pillar connector, wherein the pillar-side braking resistance is less than the door-side braking resistance during opening."
US6629337,6629337,"19. A method for providing a hinge to open a vehicle door comprising the steps of: providing a first pivot to connect the vehicle door and a link so as to impart a door-side braking resistance between the vehicle door and the link, providing a second pivot to connect the link to a vehicle body so as to impart a body-side braking resistance between the vehicle body and the link, permitting the second pivot to rotate when the door opens from the closed position to an intermediate position, while keeping the first pivot rotationally stationary, and permitting the first pivot to rotate from the intermediate position to the fully open position while the second pivot remains rotationally stationary, wherein the body-side braking resistance is less than the door-side braking resistance during opening from the closed position, and the door-side braking resistance is less than the body-side braking resistance during closing from the fully open position."
US20060249982,20060249982,
US20030218356,20030218356,
US5904002,5904002,"13. A structural door trim module for combining with and reinforcing an outer door panel of a motor vehicle to make a vehicle door assembly, the door trim module comprising: an inner door panel having an inner appearance side and an outer side having a structural characteristic, the inner appearance side being adapted to face into a passenger compartment of the motor vehicle and the outer side being adapted to face the outer door panel; an inner door panel reinforcement mounted on the outer side of the inner door panel to provide the structural characteristic and having spaced portions adapted to interface with the outer door panel in respective spaced locations with each spaced portion being readily accessible and operable to detachably and structurally secure the inner door panel in an easy-on, easy-off combination with the outer door panel; and a lock mounted on said inner door panel reinforcement and having a handle for operating said lock, said handle adapted to extend into an exterior hand grab position through the outer door panel when said inner door panel is secured in combination with the outer door panel."
US5904002,5904002,"12. A structural door trim module for combining with and reinforcing an outer door panel of a motor vehicle to make a vehicle door assembly, the door trim module comprising: an inner door panel having an inner appearance side and an outer side having a structural characteristic, the inner appearance side being adapted to face into a passenger compartment of the motor vehicle and the outer side being adapted to face the outer door panel; an inner door panel reinforcement mounted on the outer side of the inner door panel to provide the structural characteristic and having spaced portions adapted to interface with the outer door panel in respective spaced locations with each spaced portion being readily accessible and operable to detachably and structurally secure the inner door panel in an easy-on, easy-off combination with the outer door panel; and a window pane frame and a window pane regulator affixed to said inner door panel reinforcement and operable to move said window pane in and out of said window pane frame."
US5904002,5904002,"1. A structural door trim module for combining with and reinforcing an outer door panel of a motor vehicle to make a vehicle door assembly, the door trim module comprising: an inner door panel having an inner appearance side and an outer side having a structural characteristic, the inner appearance side being adapted to face into a passenger compartment of the motor vehicle and the outer side being adapted to face the outer door panel; an inner door panel reinforcement mounted on the outer side of the inner door panel to provide the structural characteristic and having spaced portions adapted to interface with the outer door panel in respective spaced locations with each spaced portion being readily accessible and operable to detachably and structurally secure the inner door panel in an easy-on, easy-off combination with the outer door panel; and a lock mounted on the outer side of the inner door panel for selectively locking and unlocking the outer door panel with respect to the motor vehicle when the inner door panel is secured in combination with the outer door panel, said lock being sufficiently adjacent to one of said spaced portions of said inner door panel reinforcement that said lock is readily accessible and operable to detachably and structurally secure said lock in combination with the outer door panel in one of said spaced locations when the inner door panel is secured in combination with the outer door panel."
US5904002,5904002,"11. A door assembly for a motor vehicle including a door outer panel having an opening, the door assembly comprising: a door trim panel having an inner surface and an outer surface, the inner surface being adapted to face into a passenger compartment of the motor vehicle, the door trim panel being insertable into the opening; a catch mounted on the outer surface of the door panel and operable to detachably secure the door assembly in a closed position; and a lock mounted on the outer surface of the door panel and engaged with the catch to permit selective operation of the catch."
US9797181,9797181,"1. A system for a vehicle, the system comprising: a door; an electric actuating motor that opens and closes the door, the electric actuating motor configured for actuating at a hinge of the door; a push-open actuator mounted at a rear of the door, the push-open actuator configured for pushing against a body of the vehicle; a detector configured to detect a wireless device configured for communications to the vehicle; and a door controller configured to: in response to determining that the wireless device is within a first predefined zone proximate to the door, control the electric actuating motor to open the door to a first angle; and in response to determining that the wireless device is within a second predefined zone proximate the door, control the electric actuating motor to open the door to a second angle that is greater than the first angle."
US9797181,9797181,"5. A system for a vehicle, the system comprising: a front door; a rear door behind the front door, the rear door having a dual-hinge design that opens and closes in a substantially vertical direction; an electric actuating motor that opens and closes the front door, the electric actuating motor configured for actuating at a hinge of the front door; a detector configured to detect a wireless device configured for communications to the vehicle; and a door controller configured to, in response to determining that the wireless device is within a predefined zone proximate to the front door and that the rear door is closed, control the electric actuating motor to open the door to a first angle."
